scores_eucli_00168.csv ▶ 정확도: 98.00% (TP=1, TN=7838, FP=153, FN=7)
scores_eucli_00169.csv ▶ 정확도: 99.37% (TP=1, TN=7948, FP=43, FN=7)
scores_eucli_00170.csv ▶ 정확도: 96.65% (TP=3, TN=7728, FP=263, FN=5)
scores_eucli_00171.csv ▶ 정확도: 94.90% (TP=4, TN=7587, FP=404, FN=4)
scores_eucli_00172.csv ▶ 정확도: 98.74% (TP=1, TN=7897, FP=94, FN=7)
scores_eucli_00173.csv ▶ 정확도: 99.51% (TP=1, TN=7959, FP=32, FN=7)
scores_eucli_00174.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00175.csv ▶ 정확도: 99.84% (TP=1, TN=7985, FP=6, FN=7)
scores_eucli_00176.csv ▶ 정확도: 99.40% (TP=2, TN=7949, FP=42, FN=6)
scores_eucli_00177.csv ▶ 정확도: 97.56% (TP=4, TN=7800, FP=191, FN=4)
scores_eucli_00178.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00180.csv ▶ 정확도: 97.69% (TP=4, TN=7810, FP=181, FN=4)
scores_eucli_00181.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00182.csv ▶ 정확도: 96.27% (TP=4, TN=7697, FP=294, FN=4)
scores_eucli_00183.csv ▶ 정확도: 98.91% (TP=0, TN=7912, FP=79, FN=8)
scores_eucli_00184.csv ▶ 정확도: 98.60% (TP=0, TN=7887, FP=104, FN=8)
scores_eucli_00185.csv ▶ 정확도: 98.24% (TP=2, TN=7856, FP=135, FN=6)
scores_eucli_00186.csv ▶ 정확도: 98.36% (TP=7, TN=7861, FP=130, FN=1)
scores_eucli_00187.csv ▶ 정확도: 99.74% (TP=1, TN=7977, FP=14, FN=7)
scores_eucli_00188.csv ▶ 정확도: 99.57% (TP=0, TN=7965, FP=26, FN=8)
scores_eucli_00189.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00190.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00191.csv ▶ 정확도: 99.31% (TP=3, TN=7941, FP=50, FN=5)
scores_eucli_00193.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00194.csv ▶ 정확도: 97.92% (TP=3, TN=7830, FP=161, FN=5)
scores_eucli_00195.csv ▶ 정확도: 99.85% (TP=1, TN=7986, FP=5, FN=7)
scores_eucli_00197.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00198.csv ▶ 정확도: 99.90% (TP=1, TN=7990, FP=1, FN=7)
scores_eucli_00199.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00200.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00201.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00202.csv ▶ 정확도: 99.26% (TP=0, TN=7940, FP=51, FN=8)
scores_eucli_00203.csv ▶ 정확도: 94.27% (TP=4, TN=7537, FP=454, FN=4)
scores_eucli_00205.csv ▶ 정확도: 99.82% (TP=0, TN=7985, FP=6, FN=8)
scores_eucli_00206.csv ▶ 정확도: 99.92% (TP=4, TN=7989, FP=2, FN=4)
scores_eucli_00207.csv ▶ 정확도: 95.76% (TP=6, TN=7654, FP=337, FN=2)
scores_eucli_00208.csv ▶ 정확도: 96.41% (TP=3, TN=7709, FP=282, FN=5)
scores_eucli_00209.csv ▶ 정확도: 98.19% (TP=6, TN=7848, FP=143, FN=2)
scores_eucli_00210.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00211.csv ▶ 정확도: 99.92% (TP=3, TN=7990, FP=1, FN=5)
scores_eucli_00212.csv ▶ 정확도: 98.34% (TP=3, TN=7863, FP=128, FN=5)
scores_eucli_00213.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00214.csv ▶ 정확도: 99.24% (TP=3, TN=7935, FP=56, FN=5)
scores_eucli_00215.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00216.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00217.csv ▶ 정확도: 95.37% (TP=1, TN=7628, FP=363, FN=7)
scores_eucli_00218.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00219.csv ▶ 정확도: 99.77% (TP=2, TN=7979, FP=12, FN=6)
scores_eucli_00220.csv ▶ 정확도: 99.86% (TP=4, TN=7984, FP=7, FN=4)
scores_eucli_00221.csv ▶ 정확도: 99.87% (TP=1, TN=7988, FP=3, FN=7)
scores_eucli_00223.csv ▶ 정확도: 99.65% (TP=2, TN=7969, FP=22, FN=6)
scores_eucli_00224.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00225.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00227.csv ▶ 정확도: 99.96% (TP=5, TN=7991, FP=0, FN=3)
scores_eucli_00228.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00229.csv ▶ 정확도: 99.82% (TP=2, TN=7983, FP=8, FN=6)
scores_eucli_00230.csv ▶ 정확도: 99.90% (TP=1, TN=7990, FP=1, FN=7)
scores_eucli_00231.csv ▶ 정확도: 90.31% (TP=5, TN=7219, FP=772, FN=3)
scores_eucli_00232.csv ▶ 정확도: 99.89% (TP=2, TN=7988, FP=3, FN=6)
scores_eucli_00235.csv ▶ 정확도: 98.59% (TP=6, TN=7880, FP=111, FN=2)
scores_eucli_00236.csv ▶ 정확도: 98.17% (TP=4, TN=7849, FP=142, FN=4)
scores_eucli_00237.csv ▶ 정확도: 99.35% (TP=2, TN=7945, FP=46, FN=6)
scores_eucli_00238.csv ▶ 정확도: 99.69% (TP=1, TN=7973, FP=18, FN=7)
scores_eucli_00239.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00240.csv ▶ 정확도: 98.59% (TP=3, TN=7883, FP=108, FN=5)
scores_eucli_00241.csv ▶ 정확도: 97.54% (TP=3, TN=7799, FP=192, FN=5)
